area,description,house,layout,position,price,sale,style,tags,village,zone
32㎡,https://sz.zu.ke.com//zufang/SZ2534896188893962240.html,八卦岭宿舍,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,随时看房",八卦岭,福田区
22㎡,https://sz.zu.ke.com//zufang/SZ2506430862477246464.html,益田花园二期,4室2厅2卫,南,1900 元/月,null,合租,"租住保障,公寓,独立卫生间,近地铁,精装,独立阳台,随时看房",皇岗,福田区
31㎡,https://sz.zu.ke.com//zufang/SZ2487600629485682688.html,鹏盛村,1室0厅1卫,南,2100 元/月,null,整租,"官方核验,近地铁,随时看房",八卦岭,福田区
7㎡,https://sz.zu.ke.com//zufang/SZ2555976593168138240.html,振业梅苑,3室1厅1卫,北,1860 元/月,null,合租,"新上,公寓,近地铁,精装,押一付一,随时看房",梅林,福田区
25㎡,https://sz.zu.ke.com//zufang/SZ2541237321567838208.html,裕亨花园,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,近地铁,随时看房",皇岗,福田区
23㎡,https://sz.zu.ke.com//zufang/SZ2555297011868114944.html,天安公寓,1室0厅1卫,东南,2400 元/月,null,整租,"官方核验,业主自荐,新上,精装,随时看房",南山中心,南山区
8㎡,https://sz.zu.ke.com//zufang/SZ2555609207294935040.html,景西大厦,4室1厅1卫,东,1730 元/月,null,合租,"新上,公寓,精装,押一付一,随时看房",景田,福田区
15㎡,https://sz.zu.ke.com//zufang/SZ2520916172241633280.html,市政大院,5室0厅1卫,南北,2000 元/月,null,合租,官方核验,景田,福田区
35㎡,https://sz.zu.ke.com//zufang/SZ2464284853646917632.html,八卦岭宿舍,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁,精装,随时看房",八卦岭,福田区
39㎡,https://sz.zu.ke.com//zufang/SZ2555008634828627968.html,金海岸大厦,1室1厅1卫,东,5000 元/月,null,整租,"官方核验,新上,近地铁",后海,南山区
16㎡,https://sz.zu.ke.com//zufang/SZ2410944151224336384.html,围仔东小区,5室0厅1卫,东南,1990 元/月,null,合租,"租住保障,公寓,月租,近地铁,精装,押一付一,随时看房",蛇口,南山区
17㎡,https://sz.zu.ke.com//zufang/SZ2539812704546734080.html,世界花园,3室2厅2卫,南,2100 元/月,null,合租,"官方核验,近地铁,随时看房",华侨城,南山区
8㎡,https://sz.zu.ke.com//zufang/SZ2555088627873095680.html,紫竹园,4室1厅1卫,南,1700 元/月,null,合租,"新上,租住保障,公寓,近地铁,精装,随时看房",蛇口,南山区
16㎡,https://sz.zu.ke.com//zufang/SZ2545642440640176128.html,城市3米6公寓,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,随时看房",福田保税区,福田区
34㎡,https://sz.zu.ke.com//zufang/SZ2369409407818932224.html,八卦岭宿舍,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁,随时看房",八卦岭,福田区
11㎡,https://sz.zu.ke.com//zufang/SZ2528182738138710016.html,锦林新居,1室0厅0卫,南,1800 元/月,null,合租,"官方核验,随时看房",梅林,福田区
20㎡,https://sz.zu.ke.com//zufang/SZ2555123926020145152.html,金盾花园,1室1厅1卫,西南,2000 元/月,null,整租,"官方核验,新上,近地铁,精装",螺岭,罗湖区
7㎡,https://sz.zu.ke.com//zufang/SZ2555750715956412416.html,学府花园,4室1厅2卫,北,2090 元/月,null,合租,"新上,公寓,近地铁,精装,押一付一,随时看房",南山中心,南山区
47㎡,https://sz.zu.ke.com//zufang/SZ2552674740221517824.html,时代骄子大厦,1室1厅1卫,西,5000 元/月,null,整租,"官方核验,新上,随时看房",南山中心,南山区
16㎡,https://sz.zu.ke.com//zufang/SZ2555611440853819392.html,海晖大厦,4室1厅1卫,东南,1990 元/月,null,合租,"新上,公寓,月租,精装,随时看房",后海,南山区
20㎡,https://sz.zu.ke.com//zufang/SZ2556588455451181056.html,裕亨花园,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,新上,随时看房",皇岗,福田区
12㎡,https://sz.zu.ke.com//zufang/SZ2543534567680114688.html,雷公岭住宅区,1室0厅0卫,南,2000 元/月,null,合租,官方核验,蛇口,南山区
9㎡,https://sz.zu.ke.com//zufang/SZ2516583655120576512.html,东方花园桂花苑,4室1厅2卫,东南,1890 元/月,null,合租,"租住保障,公寓,月租,近地铁,精装,随时看房",华侨城,南山区
35㎡,https://sz.zu.ke.com//zufang/SZ2524009212502081536.html,前海花园,1室1厅1卫,南,2100 元/月,null,合租,"官方核验,近地铁,随时看房",前海,南山区
21㎡,https://sz.zu.ke.com//zufang/SZ2544778952539914240.html,旭飞华天苑,1室0厅1卫,北,1600 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
15㎡,https://sz.zu.ke.com//zufang/SZ2490555791732375552.html,深圳市福田区福利中心,5室1厅1卫,南,1610 元/月,null,合租,"租住保障,公寓,月租,精装",车公庙,福田区
92㎡,https://sz.zu.ke.com//zufang/SZ2541936200072306688.html,景田南小区,4室0厅0卫,南,2000 元/月,null,合租,"官方核验,随时看房",景田,福田区
16㎡,https://sz.zu.ke.com//zufang/SZ2500523662982529024.html,深圳市福田区福利中心,5室1厅1卫,南,1650 元/月,null,合租,"租住保障,公寓,月租,精装,独立阳台",车公庙,福田区
40㎡,https://sz.zu.ke.com//zufang/SZ2548400584441208832.html,金港盛世华庭,1室1厅1卫,南,3200 元/月,null,整租,官方核验,盐田港,盐田区
49㎡,https://sz.zu.ke.com//zufang/SZ2549352776585191424.html,愉天小区,1室1厅1卫,南,4000 元/月,null,整租,"公寓,精装",翠竹,罗湖区
21㎡,https://sz.zu.ke.com//zufang/SZ2554961073325752320.html,雅仕居,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,新上",清水河,罗湖区
35㎡,https://sz.zu.ke.com//zufang/SZ2549090852668710912.html,愉天小区,1室1厅1卫,北,3500 元/月,null,整租,"公寓,精装,随时看房",翠竹,罗湖区
38㎡,https://sz.zu.ke.com//zufang/SZ2555551999228133376.html,时代骄子大厦,1室1厅1卫,东南,4600 元/月,null,整租,"官方核验,新上,精装,随时看房",南山中心,南山区
9㎡,https://sz.zu.ke.com//zufang/SZ2554979878680403968.html,阳光棕榈园三期,4室1厅2卫,北,2130 元/月,null,合租,"新上,公寓,近地铁,精装,押一付一,随时看房",前海,南山区
76㎡,https://sz.zu.ke.com//zufang/SZ2504285933948641280.html,雷公岭住宅A区,2室2厅1卫,南,4800 元/月,null,整租,官方核验,蛇口,南山区
31㎡,https://sz.zu.ke.com//zufang/SZ2546313251407265792.html,加福广场华尔登府邸,1室0厅1卫,南,3800 元/月,null,整租,"公寓,月租,近地铁,精装,随时看房",福田保税区,福田区
